Tabla de posiciones ; PJ ; G ; E ; P ; GF ; GC ; DF ; Pts;
Brasil;4;4;0;0;12;2;10;12
Argentina;4;3;1;0;6;2;4;10
Ecuador;4;3;0;1;13;6;7;9
Paraguay;4;1;3;0;6;5;1;6
Uruguay;4;2;0;2;7;7;0;6
Chile;4;1;1;2;6;6;0;4
Colombia;4;1;1;2;6;11;-5;4
Venezuela;4;1;0;3;2;6;-4;3
Perú;4;0;1;3;4;10;-6;1
Bolivia;4;0;1;3;5;12;-7;1
Temporada Regular;-;Fecha 4
Ecuador;6; - ;1 ;Colombia;
Venezuela;2; - ;1 ;Chile;
Paraguay;2; - ;2 ;Bolivia;
Uruguay;0; - ;2 ;Brasil;
Perú;0; - ;2 ;Argentina;
Temporada Regular;-;Fecha 5
Bolivia;; vs ;;Perú - ; - ;fecha:25/03/2021; hora:18:00:00
Venezuela;; vs ;;Ecuador - ; - ;fecha:25/03/2021; hora:19:00:00
Chile;; vs ;;Paraguay - ; - ;fecha:25/03/2021; hora:21:30:00
Colombia;; vs ;;Brasil - ; - ;fecha:26/03/2021; hora:19:00:00
Argentina;; vs ;;Uruguay - ; - ;fecha:26/03/2021; hora:21:00:00
Temporada Regular;-;Fecha 6
Ecuador;; vs ;;Chile - ; - ;fecha:30/03/2021; hora:18:00:00
Paraguay;; vs ;;Colombia - ; - ;fecha:30/03/2021; hora:19:15:00
Uruguay;; vs ;;Bolivia - ; - ;fecha:30/03/2021; hora:19:30:00
Brasil;; vs ;;Argentina - ; - ;fecha:30/03/2021; hora:21:30:00
Perú;; vs ;;Venezuela - ; - ;fecha:30/03/2021; hora:22:00:00

 Goleadores 
Arturo Erasmo Vidal Pardo;4;Inter
Ángel Rodrigo Romero Villamayor;4;San Lorenzo
Luis Alberto Suárez Díaz;4;Atlético de Madrid
Marcelo Martins Moreno;3;Cruzeiro
Neymar da Silva Santos Junior;3;PSG
Roberto Firmino Barbosa de Oliveira;3;Liverpool
Michael Steveen Estrada Martínez;3;Toluca FC
André Martín Carrillo Díaz;3;Al-Hilal
Lautaro Javier Martínez;2;Inter
Nicolás Iván González;2;Stuttgart

 Asistencias 
Ángel Israel Mena Delgado;3;León
Moisés Isaac Caicedo Corozo;3;Independiente del Valle
Alberto Espínola Giménez;3;Cerro Porteño
Giovani Lo Celso;2;Tottenham
Renan Augusto Lodi dos Santos;2;Atlético de Madrid
Neymar da Silva Santos Junior;2;PSG
Leandro Daniel Paredes;1;PSG
Lautaro Javier Martínez;1;Inter
Jean David Meneses Villarroel;1;León
Charles Mariano Aránguiz Sandoval;1;Bayer Leverkusen

 Pases 
Juan Guillermo Cuadrado Bello;251;261;96;Juventus
Jefferson Andrés Lerma Solís;377;396;95;Bournemouth
Thiago Emiliano Da Silva;303;318;95;Chelsea
Gustavo Raúl Gómez Portillo;248;261;95;Palmeiras
Marcos Aoás Corrêa;261;275;94;PSG
Douglas Luiz Soares de Paulo;261;282;92;Aston Villa
Arturo Erasmo Vidal Pardo;210;227;92;Inter
Leandro Daniel Paredes;236;258;91;PSG
Júnior Osmar Ignacio Alonso Mujica;224;245;91;Atlético Mineiro
Danilo Luiz da Silva;246;276;89;Juventus

 Recuperacion 
Arturo Erasmo Vidal Pardo;20;Inter
Leandro Daniel Paredes;12;PSG
Paulo César Díaz Huincales;11;River Plate
Pervis Josué Estupiñán Tenorio;11;Villarreal
Giovani Lo Celso;10;Tottenham
Mauricio Aníbal Isla Isla;10;Flamengo
Luis Jan Piers Advíncula Castrillón;9;Rayo Vallecano
Nicolás Hernán Gonzalo Otamendi;8;Benfica
Gonzalo Ariel Montiel;8;River Plate
Rodrigo Javier De Paul;8;Udinese

 Faltas Cometidas 
Douglas Luiz Soares de Paulo;17;Aston Villa
Arturo Erasmo Vidal Pardo;10;Inter
Jefferson Andrés Lerma Solís;10;Bournemouth
Pedro Jesús Aquino Sánchez;10;León
Rodrigo Bentancur Colmán;10;Juventus
Mathías Adalberto Villasanti Rolón;9;Cerro Porteño
Luis Jan Piers Advíncula Castrillón;8;Rayo Vallecano
Danilo Luiz da Silva;7;Juventus
Renato Fabrizio Tapia Cortijo;7;Celta
Diego Nicolás De La Cruz Arcosa;7;River Plate

 Faltas Recibidas 
Lautaro Javier Martínez;16;Inter
Juan Guillermo Cuadrado Bello;14;Juventus
Alexis Alejandro Sánchez Sánchez;13;Inter
Ángel Rodrigo Romero Villamayor;12;San Lorenzo
Rómulo Otero Vásquez;11;Corinthians
Miguel Ángel Almirón Rejala;10;Newcastle United
Darwin Daniel Machís Marcano;10;Granada
Arturo Erasmo Vidal Pardo;9;Inter
Neymar da Silva Santos Junior;9;PSG
James David Rodríguez Rubio;9;Everton

 Tarjetas Amarillas 
Nicolás Hernán Gonzalo Otamendi;2;Benfica
Francisco Andrés Sierralta Carvallo;2;Watford
Adrián Jhonny Jusino Cerruto;2;Bolívar
José María Carrasco Sanguino;2;Blooming
Douglas Luiz Soares de Paulo;2;Aston Villa
Jefferson Andrés Lerma Solís;2;Bournemouth
Carlos Armando Gruezo Arboleda;2;Augsburg
Hernán Arsenio Pérez González;2;Espanyol
Adrián Andrés Cubas;2;Nimes Olympique
Miguel Ángel Almirón Rejala;2;Newcastle United

 Tarjetas Rojas 
Carlos Augusto Zambrano Ochandarte;1;Boca Juniors
Carlos Alberto Cáceda Ollaguez;1;Melgar
Edinson Roberto Cavani Gómez;1;Manchester United
Nicolás Alejandro Tagliafico;0;Ajax
Giovanni Simeone;0;Cagliari
Lionel Sebastián Scaloni;0;
Renzo Saravia;0;Internacional
Eduardo Antonio Salvio;0;Boca Juniors
Guido Rodríguez;0;Betis
Germán Alejandro Pezzella;0;Fiorentina
