Cuartos de Final;-;Llave 1;;;;;
Grêmio;1; - ;1;Santos;ida;;
Santos;4; - ;1;Grêmio;vuelta;;
Cuartos de Final;-;Llave 2;;;;;
Racing Club;1; - ;0;Boca Juniors;ida;;
Boca Juniors;2; - ;0;Racing Club;vuelta;;
Cuartos de Final;-;Llave 3;;;;;
River Plate;2; - ;0;Nacional;ida;;
Nacional;2; - ;6;River Plate;vuelta;;
Cuartos de Final;-;Llave 4;;;;;
Libertad;1; - ;1;Palmeiras;ida;;
Palmeiras;3; - ;0;Libertad;vuelta;;
Semifinal;-;Semifinal 1;;;;;
Boca Juniors;; vs ;;Santos - ida; - ;fecha:06/01/2021; hora:19:15:00
Santos;; vs ;;Boca Juniors - vuelta; - ;fecha:13/01/2021; hora:19:15:00
Semifinal;-;Semifinal 2;;;;;
River Plate;; vs ;;Palmeiras - ida; - ;fecha:05/01/2021; hora:21:30:00
Palmeiras;; vs ;;River Plate - vuelta; - ;fecha:12/01/2021; hora:21:30:00
;;;;;;;
 Goleadores ;;;;;;;
Fidel Francisco Martínez Tenorio;8;Barcelona SC;;;;;
Eduardo Antonio Salvio;6;Boca Juniors;;;;;
Rafael Santos Borré Maury;6;River Plate;;;;;
Julián Álvarez;5;River Plate;;;;;
Kaio Jorge Pinto Ramos;5;Santos;;;;;
Javier Arley Reina Calvo;4;Independiente Medellín;;;;;
Óscar René Cardozo Marín;4;Libertad;;;;;
Mário Sérgio Santos Costa;4;Santos;;;;;
Willian Gomes de Siqueira;4;Palmeiras;;;;;
Ronielson da Silva Barbosa;4;Palmeiras;;;;;
;;;;;;;
 Asistencias ;;;;;;;
Ronielson da Silva Barbosa;8;Palmeiras;;;;;
Matías Exequiel Suárez;7;River Plate;;;;;
Gonzalo Ariel Montiel;6;River Plate;;;;;
Leandro Emmanuel Martínez;5;Barcelona;;;;;
Damián Díaz;5;Barcelona;;;;;
Iván Rodrigo Ramírez Segovia;4;Libertad;;;;;
Wesley Ribeiro Silva;3;Palmeiras;;;;;
