Tabla de posiciones ; PJ ; G ; E ; P ; GF ; GC ; DF ; Pts;
Olimpia;6;4;1;1;9;1;8;13
Libertad;6;4;0;2;9;5;4;12
Guaireña;6;3;2;1;6;5;1;11
Guaraní;6;3;1;2;11;9;2;10
Nacional (P);6;3;1;2;8;6;2;10
Sportivo Luqueño;6;3;0;3;5;6;-1;9
Cerro Porteño;6;2;1;3;7;9;-2;7
River Plate;6;1;2;3;6;10;-4;5
Sol de América;6;1;1;4;8;10;-2;4
12 de Octubre (I);6;1;1;4;5;13;-8;4
Temporada Regular;-;Fecha 6
River Plate;0; - ;1 ;Guaireña;
12 de Octubre (I);2; - ;1 ;Libertad;
Nacional (P);2; - ;0 ;Cerro Porteño;
Sol de América;0; - ;2 ;Olimpia;
Guaraní;0; - ;1 ;Sportivo Luqueño;
Temporada Regular;-;Fecha 7
Guaireña;; vs ;;12 de Octubre (I) - ; - ;fecha:09/03/2021; hora:18:30:00
Cerro Porteño;; vs ;;River Plate - ; - ;fecha:09/03/2021; hora:20:45:00
Olimpia;; vs ;;Nacional (P) - ; - ;fecha:10/03/2021; hora:18:30:00
Sportivo Luqueño;; vs ;;Sol de América - ; - ;fecha:10/03/2021; hora:20:45:00
Libertad;; vs ;;Guaraní - ; - ;fecha:28/03/2021; hora:19:00:00
Temporada Regular;-;Fecha 8
12 de Octubre (I);; vs ;;Cerro Porteño - ; - ;fecha:13/03/2021; hora:18:30:00
River Plate;; vs ;;Nacional (P) - ; - ;fecha:13/03/2021; hora:18:30:00
Sol de América;; vs ;;Libertad - ; - ;fecha:13/03/2021; hora:20:45:00
Guaraní;; vs ;;Guaireña - ; - ;fecha:14/03/2021; hora:17:45:00
Sportivo Luqueño;; vs ;;Olimpia - ; - ;fecha:14/03/2021; hora:20:00:00

 Goleadores 
Leonardo Adrián Villagra Enciso;4;Nacional (P)
Óscar René Cardozo Marín;3;Libertad
José Ignacio Florentín Bobadilla;3;Guaraní
Fernando Fabián Fernández Acosta;3;Guaraní
Cristhian Javier Báez;2;Libertad
Mauro Boselli;2;Cerro Porteño
