Tabla de posiciones ; PJ ; G ; E ; P ; GF ; GC ; DF ; Pts;
Manchester City;31;23;5;3;66;21;45;74
Manchester United;30;17;9;4;58;33;25;60
Leicester City;30;17;5;8;53;34;19;56
West Ham United;30;15;7;8;48;37;11;52
Chelsea;30;14;9;7;46;30;16;51
Tottenham;30;14;7;9;51;32;19;49
Liverpool;30;14;7;9;51;36;15;49
Everton;29;14;5;10;41;38;3;47
Aston Villa;29;13;5;11;42;31;11;44
Arsenal;30;12;6;12;40;35;5;42
Leeds United;30;13;3;14;47;48;-1;42
Crystal Palace;30;10;8;12;32;48;-16;38
Southampton;30;10;6;14;39;53;-14;36
Wolverhampton;30;9;8;13;30;41;-11;35
Burnley;30;8;9;13;24;40;-16;33
Brighton and Hove;30;7;11;12;33;38;-5;32
Newcastle United;30;7;8;15;30;50;-20;29
Fulham;31;5;11;15;24;41;-17;26
West Bromwich;30;4;9;17;25;59;-34;21
Sheffield United;30;4;2;24;17;52;-35;14
Temporada Regular;-;Fecha 29
Manchester City;4; - ;1 ;Wolverhampton;
Burnley;1; - ;1 ;Leicester City;
Sheffield United;1; - ;0 ;Aston Villa;
Crystal Palace;0; - ;0 ;Manchester United;
West Bromwich;0; - ;1 ;Everton;
Liverpool;0; - ;1 ;Chelsea;
Fulham;1; - ;2 ;Leeds United;
Brighton and Hove;3; - ;0 ;Newcastle United;
West Ham United;3; - ;3 ;Arsenal;
Tottenham;None; - ;None ;Southampton;
Temporada Regular;-;Fecha 30
Chelsea;2; - ;5 ;West Bromwich - ; - ;fecha:03/04/2021; hora:08:30:00
Leeds United;2; - ;1 ;Sheffield United - ; - ;fecha:03/04/2021; hora:11:00:00
Leicester City;0; - ;2 ;Manchester City - ; - ;fecha:03/04/2021; hora:13:30:00
Arsenal;0; - ;3 ;Liverpool - ; - ;fecha:03/04/2021; hora:16:00:00
Southampton;3; - ;2 ;Burnley - ; - ;fecha:04/04/2021; hora:08:00:00
Newcastle United;2; - ;2 ;Tottenham - ; - ;fecha:04/04/2021; hora:10:05:00
Aston Villa;3; - ;1 ;Fulham - ; - ;fecha:04/04/2021; hora:12:30:00
Manchester United;2; - ;1 ;Brighton and Hove - ; - ;fecha:04/04/2021; hora:15:30:00
Everton;1; - ;1 ;Crystal Palace - ; - ;fecha:05/04/2021; hora:14:00:00
Wolverhampton;2; - ;3 ;West Ham United - ; - ;fecha:05/04/2021; hora:16:15:00
Temporada Regular;-;Fecha 31
Fulham;; vs ;;Wolverhampton - ; - ;fecha:09/04/2021; hora:16:00:00
Manchester City;; vs ;;Leeds United - ; - ;fecha:10/04/2021; hora:08:30:00
Liverpool;; vs ;;Aston Villa - ; - ;fecha:10/04/2021; hora:11:00:00
Crystal Palace;; vs ;;Chelsea - ; - ;fecha:10/04/2021; hora:13:30:00
Burnley;; vs ;;Newcastle United - ; - ;fecha:11/04/2021; hora:08:00:00
West Ham United;; vs ;;Leicester City - ; - ;fecha:11/04/2021; hora:10:05:00
Tottenham;; vs ;;Manchester United - ; - ;fecha:11/04/2021; hora:12:30:00
Sheffield United;; vs ;;Arsenal - ; - ;fecha:11/04/2021; hora:15:00:00
West Bromwich;; vs ;;Southampton - ; - ;fecha:12/04/2021; hora:14:00:00
Brighton and Hove;; vs ;;Everton - ; - ;fecha:12/04/2021; hora:16:15:00

 Goleadores 
Harry Kane;19;Tottenham
Mohamed Salah Ghaly;18;Liverpool
Bruno Miguel Borges Fernandes;16;Manchester United
Dominic Calvert-Lewin;14;Everton
Patrick Bamford;14;Leeds United
Heungmin Son;13;Tottenham
Jamie Vardy;13;Leicester City
Ilkay Gündogan;12;Manchester City
Alexandre Lacazette;11;Arsenal
Oliver George Arthur Watkins;11;Aston Villa

 Asistencias 
Harry Kane;13;Tottenham
Bruno Miguel Borges Fernandes;11;Manchester United
Jack Peter Grealish;10;Aston Villa
Kevin De Bruyne;10;Manchester City
Heungmin Son;9;Tottenham
Marcus Rashford;7;Manchester United
Aaron William Cresswell;7;West Ham United
Jamie Vardy;7;Leicester City
Timo Werner;6;Chelsea
Lucas Digne;6;Everton

 Pases 
Rúben Santos Gato Alves Dias;2137;2234;95;Manchester City
Jacob Harry Maguire;1736;1865;93;Manchester United
Rodrigo Hernández Cascante;2101;2270;92;Manchester City
James Michael Edward Ward-Prowse;1777;1952;91;Southampton
Rúben Diogo da Silva Neves;1503;1653;90.926;Wolverhampton
Pierre-Emile Höjbjerg;1695;1864;90;Tottenham
Jordan Henderson;1507;1690;89;Liverpool
Youri Tielemans;1502;1719;87;Leicester City
Andrew Robertson;1781;2130;83;Liverpool
Luke Ayling;1374;1715;80;Leeds United

 Recuperacion 
Yves Bissouma;83;Brighton and Hove
Rodrigo Hernández Cascante;79;Manchester City
Pierre-Emile Höjbjerg;71;Tottenham
Abdoulaye Doucouré;61;Everton
Frederico Rodrigues de Paula Santos;57;Manchester United
Aaron Wan-Bissaka;56;Manchester United
Kalvin Phillips;56;Leeds United
Declan Rice;55;West Ham United
Luka Milivojevic;55;Crystal Palace
Rúben Diogo da Silva Neves;54;Wolverhampton

 Faltas Cometidas 
Pierre-Emile Höjbjerg;57;Tottenham
Tomás Soucek;53;West Ham United
